OrderID,Date,Region,Category,Product,Quantity,Amount
1156,2023-03-02,West,Home & Garden,LED Desk Lamp,1,34.95
1182,2023-03-02,East,Home & Garden,Ceramic Planter,3,57.15
1111,2023-03-03,North,Sporting Goods,Water Bottle,4,57.24
1150,2023-03-03,North,Sporting Goods,Dumbbell Set,4,347.69
1011,2023-03-04,East,Apparel,Rain Jacket,4,259.82
1082,2023-03-05,East,Home & Garden,Garden Shears,2,34.97
1122,2023-03-05,South,Electronics,Laptop Stand,5,148.27
1109,2023-03-08,East,Home & Garden,Throw Blanket,5,122.17
1021,2023-03-09,South,Apparel,Running Shoes,3,215.44
1039,2023-03-09,West,Sporting Goods,Camping Tent,4,497.99
1065,2023-03-09,West,Electronics,Wireless Earbuds,5,193.41
1154,2023-03-09,East,Home & Garden,Garden Shears,1,17.86
1129,2023-03-10,South,Apparel,Running Shoes,1,74.21
1089,2023-03-11,West,Sporting Goods,Water Bottle,1,14.49
1171,2023-03-11,East,Apparel,Wool Sweater,4,217.17
1183,2023-03-12,North,Apparel,Running Shoes,4,294.9
1181,2023-03-13,West,Electronics,Bluetooth Speaker,2,116.65
1127,2023-03-14,East,Sporting Goods,Yoga Mat,2,45.49
1083,2023-03-15,East,Apparel,Wool Sweater,3,164.09
1137,2023-03-15,North,Sporting Goods,Yoga Mat,4,88.81
1040,2023-03-17,North,Apparel,Running Shoes,5,370.23
1088,2023-03-18,South,Sporting Goods,Water Bottle,5,73.03
1177,2023-03-19,North,Sporting Goods,Yoga Mat,2,45.86
1178,2023-03-19,South,Sporting Goods,Yoga Mat,1,22.86
1100,2023-03-21,North,Sporting Goods,Water Bottle,2,29.37
1206,2023-03-21,South,Home & Garden,Throw Blanket,1,24.83
1013,2023-03-22,South,Sporting Goods,Camping Tent,1,129.43
1066,2023-03-22,South,Sporting Goods,Yoga Mat,4,88.53
1136,2023-03-24,West,Electronics,4K Monitor,3,738.48
1138,2023-03-24,North,Electronics,Laptop Stand,5,147.38
1093,2023-03-25,East,Apparel,Rain Jacket,3,192.64
1220,2023-03-25,North,Apparel,Rain Jacket,3,189.48
1172,2023-03-28,South,Electronics,Laptop Stand,1,29.62
1020,2023-03-29,South,Electronics,Bluetooth Speaker,4,233.41
1204,2023-03-31,South,Home & Garden,Ceramic Planter,3,59.39
1010,2023-04-01,South,Apparel,Wool Sweater,1,53.71
1167,2023-04-01,East,Apparel,Denim Jacket,5,442.7
1006,2023-04-02,West,Home & Garden,Throw Blanket,1,24.41
1165,2023-04-02,West,Home & Garden,Throw Blanket,1,24.08
1023,2023-04-03,South,Home & Garden,LED Desk Lamp,1,34.78
1104,2023-04-03,South,Sporting Goods,Dumbbell Set,4,355.17
1117,2023-04-03,South,Apparel,Wool Sweater,1,52.99
1209,2023-04-05,North,Home & Garden,Throw Blanket,5,124.22
1007,2023-04-07,East,Electronics,Bluetooth Speaker,5,293.61
1094,2023-04-08,North,Home & Garden,Garden Shears,3,52.54
1123,2023-04-08,West,Sporting Goods,Water Bottle,3,43.41
1077,2023-04-09,South,Sporting Goods,Water Bottle,2,29.46
1038,2023-04-13,North,Electronics,4K Monitor,4,999.23
1193,2023-04-13,West,Sporting Goods,Yoga Mat,4,87.7
1126,2023-04-15,North,Sporting Goods,Water Bottle,3,43.24
1060,2023-04-16,North,Apparel,Wool Sweater,2,106.58
1086,2023-04-17,West,Electronics,4K Monitor,4,995.2
1170,2023-04-17,East,Apparel,Denim Jacket,2,175.76
1053,2023-04-19,East,Home & Garden,Ceramic Planter,1,19.76
1202,2023-04-19,East,Electronics,Bluetooth Speaker,5,290.23
1211,2023-04-19,East,Sporting Goods,Water Bottle,4,57.61
1092,2023-04-20,North,Apparel,Rain Jacket,2,125.17
1216,2023-04-21,South,Apparel,Denim Jacket,4,350.97
1067,2023-04-22,West,Electronics,4K Monitor,3,715.1
1135,2023-04-22,East,Sporting Goods,Yoga Mat,4,89.24
1049,2023-04-23,East,Home & Garden,Ceramic Planter,5,99.61
1081,2023-04-24,West,Sporting Goods,Water Bottle,2,29.16
1107,2023-04-26,West,Apparel,Rain Jacket,5,314.17
1114,2023-04-27,South,Home & Garden,Throw Blanket,3,71.67
1153,2023-04-27,South,Electronics,4K Monitor,4,953.7
1218,2023-04-28,West,Electronics,Bluetooth Speaker,5,293.55
1019,2023-04-30,East,Home & Garden,Ceramic Planter,1,19.76
1162,2023-04-30,West,Home & Garden,LED Desk Lamp,1,34.89
1025,2023-05-02,West,Apparel,Wool Sweater,5,274.46
1151,2023-05-02,West,Sporting Goods,Water Bottle,2,29.93
1116,2023-05-04,South,Home & Garden,Throw Blanket,1,24.11
1145,2023-05-04,South,Sporting Goods,Dumbbell Set,4,348.87
1108,2023-05-07,South,Home & Garden,LED Desk Lamp,4,135.45
1147,2023-05-10,East,Home & Garden,Ceramic Planter,3,59.48
1042,2023-05-11,North,Electronics,4K Monitor,1,245.93
1073,2023-05-11,East,Sporting Goods,Dumbbell Set,1,87.81
1191,2023-05-12,South,Electronics,Laptop Stand,5,149.54
1212,2023-05-12,North,Electronics,Bluetooth Speaker,4,231.36
1027,2023-05-13,South,Sporting Goods,Yoga Mat,2,43.83
1110,2023-05-13,West,Apparel,Running Shoes,2,146.14
1190,2023-05-15,West,Electronics,Wireless Earbuds,4,158.18
1113,2023-05-16,East,Home & Garden,Garden Shears,5,87.03
1208,2023-05-16,West,Apparel,Rain Jacket,4,251.39
1091,2023-05-17,North,Electronics,Laptop Stand,5,143.08
1155,2023-05-17,North,Sporting Goods,Camping Tent,4,510.01
1064,2023-05-18,East,Home & Garden,Ceramic Planter,1,19.17
1174,2023-05-18,East,Electronics,Laptop Stand,3,88.1
1026,2023-05-19,East,Apparel,Wool Sweater,4,213.78
1095,2023-05-19,North,Electronics,Bluetooth Speaker,2,118.67
1139,2023-05-19,South,Sporting Goods,Water Bottle,1,14.63
1036,2023-05-21,North,Electronics,Wireless Earbuds,5,199.64
1149,2023-05-22,South,Sporting Goods,Water Bottle,3,44.93
1016,2023-05-24,West,Home & Garden,Garden Shears,5,87.08
1058,2023-05-24,South,Sporting Goods,Dumbbell Set,2,179.77
1176,2023-05-24,West,Home & Garden,LED Desk Lamp,1,34.83
1201,2023-05-24,East,Home & Garden,Ceramic Planter,4,79.45
1205,2023-05-24,South,Electronics,Bluetooth Speaker,1,57.81
1098,2023-05-25,East,Apparel,Rain Jacket,3,186.86
1102,2023-05-25,West,Electronics,Bluetooth Speaker,5,294.87
1166,2023-05-25,South,Electronics,Laptop Stand,3,88.2
1185,2023-05-25,South,Apparel,Running Shoes,5,367.2
1207,2023-05-25,North,Sporting Goods,Yoga Mat,2,43.89
1014,2023-05-26,West,Home & Garden,LED Desk Lamp,4,139.15
1031,2023-05-27,West,Sporting Goods,Dumbbell Set,4,345.39
1119,2023-05-27,West,Home & Garden,Garden Shears,4,69.59
1203,2023-05-28,South,Apparel,Denim Jacket,4,357.21
1148,2023-05-29,West,Sporting Goods,Dumbbell Set,4,348.17
1056,2023-05-30,North,Apparel,Rain Jacket,2,125.48
1087,2023-05-30,North,Electronics,Laptop Stand,4,119.62
1004,2023-05-31,West,Home & Garden,Ceramic Planter,2,38.66
1163,2023-05-31,West,Home & Garden,Garden Shears,3,53.55
1106,2023-06-01,North,Home & Garden,Throw Blanket,2,48.18
1130,2023-06-02,West,Home & Garden,Garden Shears,1,17.71
1132,2023-06-03,East,Electronics,Laptop Stand,3,85.59
1146,2023-06-03,West,Apparel,Running Shoes,3,217.54
1214,2023-06-03,East,Electronics,Wireless Earbuds,2,79.76
1196,2023-06-04,South,Sporting Goods,Yoga Mat,1,22.33
1072,2023-06-05,West,Home & Garden,Garden Shears,4,70.79
1099,2023-06-05,North,Electronics,4K Monitor,3,734.17
1076,2023-06-06,South,Electronics,Laptop Stand,4,118.27
1124,2023-06-08,South,Electronics,Wireless Earbuds,2,77.04
1047,2023-06-09,South,Electronics,Wireless Earbuds,5,195.01
1097,2023-06-09,West,Apparel,Denim Jacket,2,177.01
1140,2023-06-09,South,Sporting Goods,Water Bottle,1,14.44
1101,2023-06-10,North,Apparel,Running Shoes,3,222.68
1128,2023-06-10,South,Apparel,Rain Jacket,1,63.84
1142,2023-06-11,North,Apparel,Denim Jacket,3,263.93
1074,2023-06-12,East,Home & Garden,Ceramic Planter,2,38.43
1157,2023-06-12,East,Electronics,Laptop Stand,2,59.69
1195,2023-06-12,East,Home & Garden,Garden Shears,5,87.49
1001,2023-06-13,South,Electronics,Wireless Earbuds,3,115.31
1012,2023-06-13,South,Apparel,Wool Sweater,1,54.5
1054,2023-06-13,West,Home & Garden,LED Desk Lamp,4,136.89
1161,2023-06-13,North,Home & Garden,Garden Shears,3,53.7
1175,2023-06-13,West,Home & Garden,Ceramic Planter,2,38.03
1219,2023-06-13,West,Sporting Goods,Camping Tent,1,123.63
1015,2023-06-14,South,Sporting Goods,Dumbbell Set,3,259.8
1184,2023-06-14,South,Electronics,Wireless Earbuds,3,119.9
1046,2023-06-15,North,Home & Garden,Garden Shears,3,51.3
1096,2023-06-16,South,Electronics,Wireless Earbuds,2,79.34
1105,2023-06-16,West,Home & Garden,Garden Shears,4,71.33
1168,2023-06-18,East,Apparel,Running Shoes,1,74.2
1068,2023-06-20,East,Home & Garden,Throw Blanket,1,24.37
1069,2023-06-20,East,Sporting Goods,Camping Tent,4,508.38
1217,2023-06-21,North,Home & Garden,Ceramic Planter,4,77.71
1090,2023-06-23,South,Sporting Goods,Dumbbell Set,4,359.61
1213,2023-06-23,South,Sporting Goods,Camping Tent,1,126.06
1079,2023-06-28,South,Sporting Goods,Yoga Mat,5,114.48
1131,2023-06-29,West,Sporting Goods,Camping Tent,5,631.68
